toccare,"dotýkat se"
portare,"přinést, nosit"
giocare,"hrát (hru)"
conoscere,"poznat, vědět"
rispondere,"odpovědět"
bollire,"vařit se"
ricevere,"obrdžet"
visitare,"navštívit"
piovere,"pršet"
perdere,"ztratit"
saltare,"skočit"
colpire,"praštit, udeřit, trefit"
controllare,"kontrolovat"
cercare,"hledat"
esplorare,"prozkoumávat"
esercitare,"cvičit"
seguire,"následovat"
unire,"sjednotit, připojit"
dimenticare,"zapomnenout"
guadagnare,"vydělávat"
dimostrare,"ukazovat, představovat"
costruire,"stravět, budovat"
venire,"přijít"
dovere,"muset"
crescere,"růst"
accendere,"zapnout"
amare,"milovat"
indossare,"nosit (oblečení)"
nevicare,"sněžit"
preoccupare,"obávat se"
dare,"dát"
capire,"rozumnět"
piangere,"plakat"
decidere,"rozhodovat"
scrivere,"psát"
entrare,"vstoupit"
pulire,"čistit"
suonare,"hrát (na nástroj)"
girare,"otočit"
correre,"běžet"
trovare,"najít"
mandare,"poslat, směřovat (ne inviare)"
pescare,"rybařit"
produrre,"produkovat"
stampare,"tisknout"
iniziare,"začít, připojit se (ne cominciare)"
significare,"znamenat"
scusare,"omluvit se"
arrostire,"péct, restovat"
volere,"chtít"
concordare,"souhlasit"
gridare,"křičet"
arrivare,"dorazit"
riempire,"vyplnit, naplnit"
fermare,"zastavit"
porre,"umístit (ne mettere)"
aggiungere,"přidat"
pensare,"myslet"
cantare,"zpívat"
volare,"létat"
spostare,"přemístit, hýbat (objekt, osobu, rukou)"
leggere,"čist"
chiedere,"ptát, zeptat se"
indicare,"ukazovat, naznačit"
sapere,"vědět (fakt)"
prendere,"vzít"
includere,"zahrnout"
rimanere,"zůstat"
ascoltare,"poslouchat"
chiudere,"zavřít"
spaventare,"vyděsit"
chiamare,"volat (nazývat)"
costare,"stát (cena)"
rompere,"zlomit, přerušit"
avere,"mít"
migliorare,"vylepšit"
dire,"řict"
fumare,"kouřit"
premere,"stisknout"
credere,"věřit (myslet si)"
supporre,"předpokládat"
ferire,"ublížit"
tirare,"táhnout"
permettere,"povolit"
attraversare,"křížit, přejít"
inviare,"poslat, připojit (ne mandare)"
guidare,"řídit"
abbassare,"snížit"
tentare,"pokusit se"
salvare,"zachránit, uložit"
finire,"ukončit"
telefonare,"telefonovat"
ricordare,"pamatovat si"
vedere,"vidět"
vivere,"žít"
sentire,"cítit, slyšet"
invitare,"pozvat, vyzvat"
descrivere,"popsat"
pregare,"modlit se"
filmare,"natáčet (film)"
cadere,"padat"
esprimere,"vyjadřovat"
preferire,"preferovat, upřednostňovat"
offrire,"nabídnout"
spingere,"tlačit"
coltivare,"pěstovat, kultivovat"
imparare,"učit se"
appartenere,"patřit, náležet"
stare,"zůstat"
tenere,"držet"
disegnare,"navrhnout, kreslit"
ridere,"smát se"
passare,"míjet, přejít"
bere,"pít"
insistere,"naléhat"
sorridere,"usmát se"
comprare,"koupit"
vendere,"prodat"
diventare,"stát se"
mancare,"minout, chybět"
fallire,"selhat"
riconoscere,"poznat"
aprire,"otevřít"
studiare,"studovat"
cambiare,"změnit"
morire,"zemřít"
ballare,"tancovat"
affittare,"pronajmout"
fotografare,"fotografovat"
dormire,"spát"
svuotare,"vyprázdnit"
viaggiare,"cestovat"
insegnare,"učit, vyučovat"
aiutare,"pomáhat"
vincere,"vyhrát"
sognare,"snít"
friggere,"smažit"
cucinare,"vařit (jídlo)"
confondere,"zmást, plést"
odiare,"nenávidět"
bruciare,"pálit"
ritornare,"vrátit se"
lasciare,"zanechat"
riposare,"odpočívat, položit (vrátit zpět)"
scegliere,"vybrat"
parlare,"mluvit"
aspettare,"čekat (na něco)"
allenare,"cvičit"
lavare,"umývat"
ringraziare,"děkovat"
baciare,"líbat"
usare,"používat"
pianificare,"plánovat"
potere,"smět, být schopen"
dipingere,"malovat"
tagliare,"krájet, řezat"
fare,"udělat"
camminare,"chodit"
sedere,"sedět"
asciugare,"sušit"
nuotare,"plavat"
mangiare,"jíst"
votare,"hlasovat"
prestare,"půjčit"
cominciare,"začít, zahájit (ne iniziare)"
lavorare,"pracovat"
parcheggiare,"parkovat"
provare,"zkusit"
incontrare,"potkat"
spiegare,"vysvětlit"
essere,"být"
vestire,"oblékat"
pagare,"platit"
piacere,"potěšit"
mentire,"lhát"
prenotare,"rezervovat"
mettere,"dát, umístit, položit (ne porre)"
rubare,"ukrást"
giudicare,"soudit"
guardare,"sledovat, dívat se na"
succedere,"stát se, dít se"
andare,"jít"
riparare,"opravit"
ricercare,"vyhledávat, usilovat"
