toccare,"to touch"
portare,"to bring"
giocare,"to play (a game)"
conoscere,"to know (be familiar with)"
rispondere,"to answer"
bollire,"to boil"
ricevere,"to receive"
visitare,"to visit"
piovere,"to rain"
perdere,"to lose"
saltare,"to jump"
colpire,"to hit"
controllare,"to control"
cercare,"to look for"
esplorare,"to explore"
esercitare,"to exercise"
seguire,"to follow"
unire,"to unite"
dimenticare,"to forget"
guadagnare,"to earn"
dimostrare,"to demonstrate"
costruire,"to build"
venire,"to come"
dovere,"to have to, must, ought, should, owe"
crescere,"to grow"
accendere,"to turn on (a switch)"
amare,"to love"
indossare,"to wear"
nevicare,"to snow"
preoccupare,"to worry"
dare,"to give"
capire,"to understand"
piangere,"to cry"
decidere,"to decide"
scrivere,"to write"
entrare,"to enter"
pulire,"to clean"
suonare,"to play (instrument)"
girare,"to turn"
correre,"to run"
trovare,"to find"
mandare,"to send (not inviare)"
pescare,"to fish"
produrre,"to produce"
stampare,"to print"
iniziare,"to begin (not cominciare)"
significare,"to mean"
scusare,"to excuse"
arrostire,"to roast"
volere,"to want"
concordare,"to agree"
gridare,"to shout"
arrivare,"to arrive"
riempire,"to fill"
fermare,"to stop"
porre,"to put (not mettere)"
aggiungere,"to add"
pensare,"to think"
cantare,"to sing"
volare,"to fly"
spostare,"to move (object, person, arm)"
leggere,"to read"
chiedere,"to ask"
indicare,"to indicate"
sapere,"to know (a fact)"
prendere,"to take"
includere,"to include"
rimanere,"to remain"
ascoltare,"to listen to"
chiudere,"to close"
spaventare,"to scare"
chiamare,"to call"
costare,"to cost"
rompere,"to break"
avere,"to have"
migliorare,"to improve"
dire,"to say"
fumare,"to smoke"
premere,"to press"
credere,"to believe"
supporre,"to suppose"
ferire,"to wound"
tirare,"to pull"
permettere,"to allow"
attraversare,"to cross"
inviare,"to send (not mandare)"
guidare,"to drive"
abbassare,"to lower"
tentare,"to attempt"
salvare,"to save (rescue)"
finire,"to finish"
telefonare,"to telephone"
ricordare,"to remember"
vedere,"to see"
vivere,"to live (not abitare)"
sentire,"to feel"
invitare,"to invite"
descrivere,"to describe"
pregare,"to beg"
filmare,"to film"
cadere,"to fall"
esprimere,"to express"
preferire,"to prefer"
offrire,"to offer"
spingere,"to push"
coltivare,"to cultivate"
imparare,"to learn"
appartenere,"to belong"
stare,"to stay"
tenere,"to hold"
disegnare,"to design"
ridere,"to laugh"
passare,"to pass"
bere,"to drink"
insistere,"to insist"
sorridere,"to smile"
comprare,"to buy"
vendere,"to sell"
diventare,"to become"
mancare,"to miss"
fallire,"to fail"
riconoscere,"to recognise"
aprire,"to open"
studiare,"to study"
cambiare,"to change"
morire,"to die"
ballare,"to dance"
affittare,"to rent"
fotografare,"to photograph"
dormire,"to sleep"
svuotare,"to empty"
viaggiare,"to travel"
insegnare,"to teach"
aiutare,"to help"
vincere,"to win"
sognare,"to dream"
friggere,"to fry"
cucinare,"to cook (to prepare food)"
confondere,"to confuse"
odiare,"to hate"
bruciare,"to burn"
ritornare,"to return (to go back)"
lasciare,"to leave (an object)"
riposare,"to rest"
scegliere,"to choose"
parlare,"to talk"
aspettare,"to wait (for)"
allenare,"to train"
lavare,"to wash"
ringraziare,"to thank"
baciare,"to kiss"
usare,"to use"
pianificare,"to plan"
potere,"to be able to"
dipingere,"to paint"
tagliare,"to cut"
fare,"to make"
camminare,"to walk"
sedere,"to sit"
asciugare,"to dry"
nuotare,"to swim"
mangiare,"to eat"
votare,"to vote"
prestare,"to lend"
cominciare,"to begin (not iniziare)"
lavorare,"to work"
parcheggiare,"to park"
provare,"to try"
incontrare,"to meet"
spiegare,"to explain"
essere,"to be"
vestire,"to dress"
pagare,"to pay"
piacere,"to please"
mentire,"to lie (to tell an untruth)"
prenotare,"to reserve"
mettere,"to put (not porre)"
rubare,"to steal"
giudicare,"to judge"
guardare,"to look at"
succedere,"to happen"
andare,"to go"
riparare,"to repair"
ricercare,"to research"
